product_id,quantity,message,status
SDL626913856,50,Duplicate update requests,Failed
SDL374528442,1,Duplicate update requests,Failed
SDL224532838,0,Duplicate update requests,Failed
SDL213361484,50,Duplicate update requests,Failed
SDL819486240,3,Duplicate update requests,Failed
SDL513561490,0,Duplicate update requests,Failed
SDL816255346,0,Duplicate update requests,Failed
SDL455194367,0,Duplicate update requests,Failed
SDL810182484,16,Duplicate update requests,Failed
SDL372831617,0,Duplicate update requests,Failed
SDL626913856,50,Duplicate update requests,Failed
SDL957497297,0,Duplicate update requests,Failed
SDL725812253,0,Duplicate update requests,Failed
SDL295074287,0,Duplicate update requests,Failed
SDL970591155,19,Duplicate update requests,Failed
SDL455194367,0,Duplicate update requests,Failed
SDL373382997,0,Duplicate update requests,Failed
SDL143431477,10,Duplicate update requests,Failed
SDL605173871,0,Duplicate update requests,Failed
SDL384675806,0,Duplicate update requests,Failed
SDL952643758,0,Duplicate update requests,Failed
SDL834523650,0,Duplicate update requests,Failed
SDL231976321,0,Duplicate update requests,Failed
SDL187649432,0,Duplicate update requests,Failed
SDL993955377,0,Duplicate update requests,Failed
SDL423453870,0,Duplicate update requests,Failed
SDL640023390,0,Duplicate update requests,Failed
SDL777748262,3,Duplicate update requests,Failed
SDL753974633,50,Duplicate update requests,Failed
SDL956162700,25,Duplicate update requests,Failed
SDL600867479,0,Duplicate update requests,Failed
SDL994224970,0,Duplicate update requests,Failed
SDL186118504,0,Duplicate update requests,Failed
SDL208691433,0,Duplicate update requests,Failed
SDL728360061,2,Duplicate update requests,Failed
SDL991100716,0,Duplicate update requests,Failed
SDL103403955,1,Duplicate update requests,Failed
SDL131562402,0,Duplicate update requests,Failed
SDL227593896,0,Duplicate update requests,Failed
SDL382405518,4,Duplicate update requests,Failed
SDL127597039,0,Duplicate update requests,Failed
SDL285156177,0,Duplicate update requests,Failed
SDL381761142,0,Duplicate update requests,Failed
SDL245113917,0,Duplicate update requests,Failed
SDL076341399,0,Duplicate update requests,Failed
SDL272948196,0,Duplicate update requests,Failed
SDL938977921,0,Duplicate update requests,Failed
SDL606441563,0,Duplicate update requests,Failed
SDL257575812,50,Duplicate update requests,Failed
SDL330893908,0,Duplicate update requests,Failed
SDL005558215,0,Duplicate update requests,Failed
SDL159933641,10,Duplicate update requests,Failed
SDL031390815,0,Duplicate update requests,Failed
SDL390613676,9,Duplicate update requests,Failed
SDL772359062,50,Duplicate update requests,Failed
SDL527598902,13,Duplicate update requests,Failed
SDL272329497,3,Duplicate update requests,Failed
SDL594748126,17,Duplicate update requests,Failed
SDL937073941,0,Duplicate update requests,Failed
SDL100515732,0,Duplicate update requests,Failed
SDL136376810,0,Duplicate update requests,Failed
SDL927306342,0,Duplicate update requests,Failed
SDL769936062,0,Duplicate update requests,Failed
SDL152093760,0,Duplicate update requests,Failed
SDL253852848,0,Duplicate update requests,Failed
SDL330893908,50,Duplicate update requests,Failed
SDL868978983,0,Duplicate update requests,Failed
SDL911374033,0,Duplicate update requests,Failed
SDL522874525,0,Duplicate update requests,Failed
SDL382118740,0,Duplicate update requests,Failed
SDL782964644,0,Duplicate update requests,Failed
SDL945685125,50,Duplicate update requests,Failed
SDL842778809,0,Duplicate update requests,Failed
SDL124660885,0,Duplicate update requests,Failed
SDL234404467,0,Duplicate update requests,Failed
SDL922335163,0,Duplicate update requests,Failed
SDL429493623,31,Duplicate update requests,Failed
SDL895219417,38,Duplicate update requests,Failed
SDL506056629,0,Duplicate update requests,Failed
SDL735458092,0,Duplicate update requests,Failed
SDL639874396,0,Duplicate update requests,Failed
SDL300333088,0,Duplicate update requests,Failed
SDL972251279,0,Duplicate update requests,Failed
SDL211905013,16,Duplicate update requests,Failed
SDL707134807,9,Duplicate update requests,Failed
SDL281459339,0,Duplicate update requests,Failed
SDL772378658,0,Duplicate update requests,Failed
SDL038858133,0,Duplicate update requests,Failed
SDL972438019,0,Duplicate update requests,Failed
SDL342217726,0,Duplicate update requests,Failed
SDL492600299,0,Duplicate update requests,Failed
SDL240170984,0,Duplicate update requests,Failed
SDL913232340,0,Duplicate update requests,Failed
SDL383427578,3,Duplicate update requests,Failed
SDL567922628,0,Duplicate update requests,Failed
SDL234416320,0,Duplicate update requests,Failed
SDL105782630,0,Duplicate update requests,Failed
SDL152280730,0,Duplicate update requests,Failed
SDL083175579,0,Duplicate update requests,Failed
SDL886342578,0,Duplicate update requests,Failed
SDL022707456,0,Duplicate update requests,Failed
SDL176153520,1,Duplicate update requests,Failed
SDL497321509,5,Duplicate update requests,Failed
SDL393019915,0,Duplicate update requests,Failed
SDL779192033,17,Duplicate update requests,Failed
SDL220258145,23,Duplicate update requests,Failed
SDL758849301,15,Duplicate update requests,Failed
SDL099172515,0,Duplicate update requests,Failed
SDL501296001,4,Duplicate update requests,Failed
SDL771884154,8,Duplicate update requests,Failed
SDL626073083,0,Duplicate update requests,Failed
SDL520809132,50,Duplicate update requests,Failed
SDL586280125,0,Duplicate update requests,Failed
SDL993955377,0,Duplicate update requests,Failed
SDL064729223,0,Duplicate update requests,Failed
SDL846486273,0,Duplicate update requests,Failed
SDL832318277,0,Duplicate update requests,Failed
SDL323759419,0,Duplicate update requests,Failed
SDL886342578,4,Duplicate update requests,Failed
SDL754203020,0,Duplicate update requests,Failed
SDL622569136,50,Duplicate update requests,Failed
SDL438621087,4,Duplicate update requests,Failed
SDL784203372,0,Duplicate update requests,Failed
SDL028932748,1,Duplicate update requests,Failed
SDL154155619,1,Duplicate update requests,Failed
SDL208691433,0,Duplicate update requests,Failed
SDL470579024,0,Duplicate update requests,Failed
SDL304042869,0,Duplicate update requests,Failed
SDL167242758,9,Duplicate update requests,Failed
SDL018055370,0,Duplicate update requests,Failed
SDL974512432,0,Duplicate update requests,Failed
SDL624789575,0,Duplicate update requests,Failed
SDL001370307,0,Duplicate update requests,Failed
SDL208526618,0,Duplicate update requests,Failed
SDL984129347,50,Duplicate update requests,Failed
SDL848328878,0,Duplicate update requests,Failed
SDL064729223,50,Duplicate update requests,Failed
SDL484292705,0,Duplicate update requests,Failed
SDL848328878,0,Duplicate update requests,Failed
SDL771615545,2,Duplicate update requests,Failed
SDL100515732,0,Duplicate update requests,Failed
SDL567922628,0,Duplicate update requests,Failed
SDL730080157,0,Duplicate update requests,Failed
SDL395493174,50,Duplicate update requests,Failed
SDL749338124,0,Duplicate update requests,Failed
SDL982812497,0,Duplicate update requests,Failed
SDL749338124,0,Duplicate update requests,Failed
SDL232312486,0,Duplicate update requests,Failed
SDL584824395,0,Duplicate update requests,Failed
SDL468453954,4,Duplicate update requests,Failed
SDL599198019,0,Duplicate update requests,Failed
SDL481894395,0,Duplicate update requests,Failed
SDL242041869,50,Duplicate update requests,Failed
SDL211341959,4,Duplicate update requests,Failed
SDL769210726,0,Duplicate update requests,Failed
SDL137175340,0,Duplicate update requests,Failed
SDL860707365,0,Duplicate update requests,Failed
SDL652796755,47,Duplicate update requests,Failed
SDL328572527,0,Duplicate update requests,Failed
SDL317662728,11,Duplicate update requests,Failed
SDL934858079,0,Duplicate update requests,Failed
SDL085647251,0,Duplicate update requests,Failed
SDL560264613,0,Duplicate update requests,Failed
SDL998028784,0,Duplicate update requests,Failed
SDL782232498,50,Duplicate update requests,Failed
SDL219205772,0,Duplicate update requests,Failed
SDL517848528,5,Duplicate update requests,Failed
SDL242662448,0,Duplicate update requests,Failed
SDL567922628,0,Duplicate update requests,Failed
SDL277535847,0,Duplicate update requests,Failed
SDL747059213,0,Duplicate update requests,Failed
SDL629458927,0,Duplicate update requests,Failed
SDL517848528,4,Duplicate update requests,Failed
SDL309582408,0,Duplicate update requests,Failed
SDL348334516,0,Duplicate update requests,Failed
SDL124376363,0,Duplicate update requests,Failed
SDL314133818,0,Duplicate update requests,Failed
SDL114374777,0,Duplicate update requests,Failed
SDL283444406,0,Duplicate update requests,Failed
SDL988670580,3,Duplicate update requests,Failed
SDL227593896,0,Duplicate update requests,Failed
SDL288175398,0,Duplicate update requests,Failed
SDL397089929,10,Duplicate update requests,Failed
SDL433012526,50,Duplicate update requests,Failed
SDL772359062,50,Duplicate update requests,Failed
SDL782232498,50,Duplicate update requests,Failed
SDL374020091,12,Duplicate update requests,Failed
SDL905612185,8,Duplicate update requests,Failed
SDL433012526,50,Duplicate update requests,Failed
SDL446595620,0,Duplicate update requests,Failed
SDL895219417,43,Duplicate update requests,Failed
SDL678249450,0,Duplicate update requests,Failed
SDL220036737,7,Duplicate update requests,Failed
SDL924045821,22,Duplicate update requests,Failed
SDL347501010,50,Duplicate update requests,Failed
SDL385141697,0,Duplicate update requests,Failed
SDL001370307,0,Duplicate update requests,Failed
SDL248653353,50,Duplicate update requests,Failed
SDL823554465,21,Duplicate update requests,Failed
SDL836468931,11,Duplicate update requests,Failed
SDL611024901,37,Duplicate update requests,Failed
SDL629458927,0,Duplicate update requests,Failed
SDL422116583,1,Duplicate update requests,Failed
SDL625345494,0,Duplicate update requests,Failed
SDL648931844,0,Duplicate update requests,Failed
SDL577383052,0,Duplicate update requests,Failed
SDL449647953,0,Duplicate update requests,Failed
SDL577383052,0,Duplicate update requests,Failed
SDL096845107,50,Duplicate update requests,Failed
SDL807000118,2,Duplicate update requests,Failed
SDL501296001,0,Duplicate update requests,Failed
SDL851594807,0,Duplicate update requests,Failed
SDL092738834,0,Duplicate update requests,Failed
SDL536211264,36,Duplicate update requests,Failed
SDL458140301,22,Duplicate update requests,Failed
SDL782964644,0,Duplicate update requests,Failed
SDL925671985,1,Duplicate update requests,Failed
SDL132954445,0,Duplicate update requests,Failed
SDL484370898,0,Duplicate update requests,Failed
